No.,Name,Title Line 1,Title Line 2,Title Scale
1,Duck and Cover,Duck and Cover,,0.8771785550155374
2,Cherry Limeade,Cherry Limeade,,0.8693005105299444
3,Los Inklings,Los Inklings,,1.165366454538141
4,Orca Ballestria,Orca Ballestria,,0.9244879077018544
5,Triggerfish Zones Supremacy,Triggerfish,Zones Supremacy,0.7787534315662795
6,Secret Elixir,Secret Elixir,,1.1000234219614073
7,Whiprays,Whiprays,,1.4778517958837563
8,Ink 95,Ink 95,,2.141053426613349
9,Raze,Raze,,3.0113321317312867
10,Brush,Brush,,2.431668295008872
11,Kraken Mare,Kraken Mare,,1.0732562390710672
12,Shining Challengers,Shining,Challengers,1.1606436992702382
13,Dazzling Champions,Dazzling,Champions,1.2849040206295217
