No.,Name,Title Line 1,Title Line 2,Title Scale
1,Lanceur héroïque,Lanceur,héroïque,1.550633425
2,Marqueur lourd,Marqueur,lourd,1.426751993
3,Liquidateur Jr.,Liquidateur Jr.,,0.9267827921
4,Marqueur léger,Marqueur,léger,1.426751993
5,Aérogun,Aérogun,,1.630149836
6,Liquidateur,Liquidateur,,1.211021747
7,Calibre 2000,Calibre 2000,,1.064422454
8,N-ZAP 85,N-ZAP 85,,1.484848962
9,Liquidateur pro,Liquidateur,pro,1.211021747
10,Calibre 3000,Calibre 3000,,1.069358728
11,Nettoyeur XL,Nettoyeur XL,,1.022764694
12,Proxiblaster,Proxiblaster,,1.115300261
13,Éclablaster,Éclablaster,,1.240138951
14,Éclablaster XL,Éclablaster XL,,0.9623474583
15,Rafablaster,Rafablaster,,1.179679552
16,Turboblaster,Turboblaster,,1.060534678
17,Turboblaster pro,Turboblaster,pro,1.060534678
18,Arroseur léger,Arroseur,léger,1.573350053
19,Arroseur lourd,Arroseur,lourd,1.573350053
20,Compresseur,Compresseur,,1.070179707
21,Rouleau carbone,Rouleau,carbone,1.714270548
22,Rouleau,Rouleau,,1.742851978
23,Dynamo-rouleau,Dynamo-,rouleau,1.580844847
24,Flexi-rouleau,Flexi-rouleau,,1.055022402
25,Épinceau,Épinceau,,1.568314238
26,Épinceau brosse,Épinceau,brosse,1.568314238
27,Décap'express Alpha,Décap'express,Alpha,0.9643152638
28,Concentraceur,Concentraceur,,0.9293368646
29,Concentraceur zoom,Concentraceur,zoom,0.9293368646
30,Extraceur +,Extraceur +,,1.173675094
31,Extraceur + zoom,Extraceur +,zoom,1.173675094
32,Bimbamboum Mk I,Bimbamboum,Mk I,1.06186331
33,Détubeur,Détubeur,,1.472024369
34,Seauceur,Seauceur,,1.491345423
35,Dépoteur,Dépoteur,,1.499044382
36,Encrifugeur,Encrifugeur,,1.171045391
37,Bassineur,Bassineur,,1.423998736
38,Détoneur,Détoneur,,1.481201925
39,Badigeonneur XS,Badigeonneur XS,,0.8057246345
40,Badigeonneur,Badigeonneur,,1.006612581
41,Exteinteur,Exteinteur,,1.293036306
42,Badigeonneur stylo,Badigeonneur,stylo,1.006612581
43,Nautilus 47,Nautilus 47,,1.180745555
44,Double moucheteur,Double,moucheteur,1.141484701
45,Double encreur,Double encreur,,0.898387399
46,Double Kelvin 525,Double,Kelvin 525,1.274331161
47,Double nettoyeur,Double,nettoyeur,1.36214612
48,Double voltigeur noir,Double,voltigeur noir,0.9832266085
49,Para-encre,Para-encre,,1.272469628
50,Para-encre XL,Para-encre XL,,0.9817031104
51,Para-encre espion,Para-encre,espion,1.272469628
52,Trisperceur,Trisperceur,,1.184312998
53,Coralux 450,Coralux 450,,1.129540963
54,Éclatana d'estampe,Éclatana,d'estampe,1.352745035
55,Éclatana Doto,Éclatana,Doto,1.610849169
56,Bombe splash,Bombe,splash,2.135003931
57,Bombe gluante,Bombe,gluante,1.759672794
58,Bombe ballon,Bombe,ballon,2.135003931
59,Fontaine,Fontaine,,1.580008399
60,Mur d'encre,Mur d'encre,,1.143378404
61,Bombe soda,Bombe soda,,1.173784775
62,Bombe curling,Bombe,curling,1.934668701
63,Bombe robot,Bombe robot,,1.090270937
64,Balise de saut,Balise,de saut,1.784505692
65,Détecteur,Détecteur,,1.342552318
66,Mine,Mine,,2.863927739
67,Brume toxique,Brume,toxique,1.78572498
68,Ricocheur,Ricocheur,,1.38696668
69,Bentorpille,Bentorpille,,1.2512224
70,Fontaine,Lance-rafales,,1.025222376
71,Super bouclier,Super,bouclier,1.698073005
72,Fontaine,Super,mollusque,1.371199244
73,Badigeonneur,Multi-missile,,1.06216926
74,Pluie d'encre,Pluie d'encre,,1.050921203
75,Badigeonneur,Jolizator,,1.547992849
76,Sonar paf,Sonar paf,,1.420901731
77,Aspirencre,Aspirencre,,1.271850391
78,Badigeonneur,Haut-,perceur 5.1,1.235254182
79,Chromo-jet,Chromo-jet,,1.215268704
80,Fontaine,Ultra-,tamponneur,1.135861761
81,Crabe d'assaut,Crabe,d'assaut,1.632993735
82,Cavalsquale,Cavalsquale,,1.164436298
83,Trimissile tornade,Trimissile,tornade,1.410009439
84,Districool,Districool,,1.437148261
85,Cartouche,Cartouche,,1.327773163
86,Arnaud Till,Arnaud Till,,1.225982374
87,Mehdi,Mehdi,,2.29030569
88,M. Coco,M. Coco,,1.765219571
89,Monia,Monia,,2.311236144
90,Super bouclier,Tipik,,2.774117764
91,M. Ours,M. Ours,,1.835045684
92,Carpucine,Carpucine,,1.367134345
93,Salmioche,Salmioche,,1.370001279
94,Macalamar,Macalamar,,1.26827544
95,Amirale,Amirale,,1.802973428
96,Ayo,Ayo,,3.621457748
97,Oly,Oly,,4.19055495
98,Pasquale,Pasquale,,1.558338998
99,Angie,Angie,,2.386515826
100,Raimi,Raimi,,2.548662519
101,Charbitre,Charbitre,,1.426330426
