No.,Name,Title Line 1,Title Line 2,Title Scale
1,Liquéficateur héroïque,Liquéficateur,héroïque,1.021216008
2,Marqueur lourd,Marqueur,lourd,1.426751993
3,Liquéficateur ultra,Liquéficateur ultra,,0.7150107275
4,Marqueur léger,Marqueur,léger,1.426751993
5,Pouche-pouche,Pouche-pouche,,0.9124636567
6,Liquéficateur,Liquéficateur,,1.021216008
7,Calibre 2000,Calibre 2000,,1.064422454
8,N-ZAP 85,N-ZAP 85,,1.484848962
9,Liquéficateur pro,Liquéficateur,pro,1.021216008
10,Calibre 3000,Calibre 3000,,1.069358728
11,Méganettoyeur,Méganettoyeur,,0.8881716361
12,Proxiblasteur,Proxiblasteur,,1.013296668
13,Éclablasteur,Éclablasteur,,1.115300261
14,Éclablasteur LP,Éclablasteur LP,,0.8982203322
15,Rafalblasteur,Rafalblasteur,,1.015922765
16,Turboblasteur,Turboblasteur,,0.9678866025
17,Turboblasteur pro,Turboblasteur,pro,0.9678866025
18,Arroseur léger,Arroseur,léger,1.573350053
19,Arroseur lourd,Arroseur,lourd,1.573350053
20,Compresseur,Compresseur,,1.070179707
21,Rouleau carbone,Rouleau,carbone,1.714270548
22,Rouleau,Rouleau,,1.742851978
23,Dynamo-rouleau,Dynamo-,rouleau,1.580844847
24,Flexi-rouleau,Flexi-rouleau,,1.055022402
25,Épinceau,Épinceau,,1.568314238
26,Épinceau brosse,Épinceau,brosse,1.568314238
27,Lignizateur alpha,Lignizateur,alpha,1.219688223
28,Concentraceur,Concentraceur,,0.9293368646
29,Concentraceur zoom,Concentraceur,zoom,0.9293368646
30,X-traceur +,X-traceur +,,1.166168224
31,X-traceur + zoom,X-traceur +,zoom,1.166168224
32,Bimbamboum Mk I,Bimbamboum,Mk I,1.06186331
33,Détubeur,Détubeur,,1.472024369
34,Seauceur,Seauceur,,1.491345423
35,Seauceur trio,Seauceur trio,,0.9984562351
36,Encrifugeur,Encrifugeur,,1.171045391
37,Bassineur,Bassineur,,1.423998736
38,Détoneur,Détoneur,,1.481201925
39,Badigeonneur XP,Badigeonneur XP,,0.8009503489
40,Badigeonneur,Badigeonneur,,1.006612581
41,Exteinteur,Exteinteur,,1.293036306
42,Badigeonneur stylo,Badigeonneur,stylo,1.006612581
43,Nautilus 47,Nautilus 47,,1.180745555
44,Double moucheteur,Double,moucheteur,1.141484701
45,Double encreur,Double encreur,,0.898387399
46,Double Kelvin 525,Double,Kelvin 525,1.274331161
47,Double nettoyeur,Double,nettoyeur,1.36214612
48,Double voltigeur noir,Double,voltigeur noir,0.9832266085
49,Para-encre,Para-encre,,1.272469628
50,Méga para-encre,Méga para-encre,,0.8103048309
51,Para-encre espion,Para-encre,espion,1.272469628
52,Trisperceur,Trisperceur,,1.184312998
53,Coralux 450,Coralux 450,,1.129540963
54,Éclatana d'estampe,Éclatana,d'estampe,1.352745035
55,Éclatana Doto,Éclatana,Doto,1.610849169
56,Bombe splash,Bombe,splash,2.135003931
57,Bombe gluante,Bombe,gluante,1.759672794
58,Bombe ballon,Bombe,ballon,2.135003931
59,Gicleur,Gicleur,,1.928008141
60,Mur d'encre,Mur d'encre,,1.143378404
61,Bombe soda,Bombe soda,,1.173784775
62,Bombe curling,Bombe,curling,1.934668701
63,Bombe robot,Bombe robot,,1.090270937
64,Balise de saut,Balise,de saut,1.784505692
65,Détecteur,Détecteur,,1.342552318
66,Mine d'encre,Mine d'encre,,1.062835071
67,Brume toxique,Brume,toxique,1.78572498
68,Ricocheur,Ricocheur,,1.38696668
69,Bentorpille,Bentorpille,,1.2512224
70,Gicleur,Lance-tornades,,0.893880611
71,Super bouclier,Super,bouclier,1.698073005
72,Gicleur,Super,Mollusque,1.369283276
73,Badigeonneur,Multi-missile,,1.06216926
74,Pluie d'encre,Pluie d'encre,,1.050921203
75,Badigeonneur,Excellinator,,1.147457571
76,Sonar paf,Sonar paf,,1.420901731
77,Aspirencre,Aspirencre,,1.271850391
78,Badigeonneur,Laser,perçant 5.1,1.215527995
79,Chromo-jet,Chromo-jet,,1.215268704
80,Gicleur,Ultra-,étampeur,1.419261852
81,Crabe d'assaut,Crabe,d'assaut,1.632993735
82,Cavalsquale,Cavalsquale,,1.164436298
83,Trimissile tornade,Trimissile,tornade,1.410009439
84,Districool,Districool,,1.437148261
85,Cartouche,Cartouche,,1.327773163
86,Arnaud Till,Arnaud Till,,1.225982374
87,Mehdi,Mehdi,,2.29030569
88,M. Coco,M. Coco,,1.765219571
89,Monia,Monia,,2.311236144
90,Super bouclier,Tipik,,2.774117764
91,M. Ours,M. Ours,,1.835045684
92,Carpucine,Carpucine,,1.367134345
93,Salmio,Salmio,,2.123655162
94,MacAlmar,MacAlmar,,1.398502214
95,Amirale,Amirale,,1.802973428
96,Ayo,Ayo,,3.621457748
97,Oly,Oly,,4.19055495
98,Pasquale,Pasquale,,1.558338998
99,Angie,Angie,,2.386515826
100,Raimi,Raimi,,2.548662519
101,Charbitre,Charbitre,,1.426330426
102,Salmio,Mini,Charbitre,1.426330426
103,Kalmarus,Kalmarus,,1.475071201
104,Leviathus,Leviathus,,1.43863185
105,Krakeurs,Krakeurs,,1.542700226
106,Iormungand,Iormungand,,1.16923335
107,Ezko,Ezko,,3.230991983
108,Fosia,Fosia,,2.725890907
109,Arki,Arki,,3.283771208
110,P. Tonk,P. Tonk,,1.840646212
111,Fréma,Fréma,,2.26450592
112,Abysma,Abysma,,1.800333694
113,Tentatek,Tentatek,,1.472024369
114,Pionic,Pionic,,2.27394766
115,Aroz,Aroz,,3.119158065
116,DUX,DUX,,3.385330835
117,Thony K,Thony K,,1.616703737
118,Alpaj,Alpaj,,2.757530644
119,Tizonius,Tizonius,,1.671286125
120,Tentavole,Tentassin,,1.390163805
121,Tentassin blindé,Tentassin,blindé,1.390163805
122,Tentassin féroce,Tentassin,féroce,1.390163805
123,Tentasaute,Tentasaute,,1.183887978
124,Podo-missile,Tentavole,,1.388194629
125,Tentabombe,Tentabombe,,1.112806736
126,Tentadisco,Tentadisco,,1.240457628
127,Podo-missile,Podo-missile,,1.114983054
128,Podo-missile,Podo-missile,géant,1.114983054
129,Pieuvre mouillée,Pieuvre,mouillée,1.631634421
130,Tentatourelle,Tentatourelle,,0.9920130363
131,Tentamiral,Tentamiral,,1.2537486
132,Tentamissile,Tentamissile,,1.072283868
133,Podo-missile,Tentazep,,1.481202059
134,Mécabuvard,Mécabuvard,,1.137344899
135,Octotampe,Octotampe,,1.2688912
136,Octotampe de choc,Octotampe,de choc,1.2688912
137,Pulvérisateur,Pulvérisateur,,1.00318336
138,Tentavole,Tentabat,,1.478966599
139,DJ Octave,Octaling,,1.63095545
140,DJ Octave,DJ Octave,,1.360255576
141,Salmoche,Salmoche,,1.464599898
142,Sumoche,Sumoche,,1.561947946
143,Barboteur,Barboteur,,1.382076648
144,Tête-de-pneu,Tête-de-pneu,,1.019970384
145,Carnacier,Carnacier,,1.411691141
146,Bricabrute,Bricabrute,,1.289209098
147,Marmirador,Marmirador,,1.195076877
148,Gobb,Gobb,,2.798501436
149,Crachin,Crachin,,1.804633164
150,Dronoïde,Dronoïde,,1.557719499
151,Pylônoïde,Pylônoïde,,1.387703235
152,Ploufion,Ploufion,,1.674856229
153,Couverclard,Couverclard,,1.156875889
154,Gros boulet,Gros boulet,,1.175963692
155,Dorax,Dorax,,2.403342072
156,Barbeurk,Barbeurk,,1.521444278
157,Vaisseau mère,Vaisseau,mère,1.561753587
158,Salmonoïde de boue,Salmonoïde,de boue,1.211700125
159,Poisson-charge,Poisson-,charge,1.666312967
160,Plateforme mobile,Plateforme,mobile,1.236934919
161,Bazookarpe,Bazookarpe,,1.230914561
162,Super palourde,Super,palourde,1.596742014
163,Liquéficateur ultra modifié,Liquéficateur,ultra modifié,1.021216008
164,Pouche-pouche premium,Pouche-pouche,premium,0.9124636567
165,Liquéficateur Tentatek,Liquéficateur,Tentatek,1.021216008
166,Liquéficateur pro Fosia,Liquéficateur,pro Fosia,1.021216008
167,Lanceur spatial,Lanceur,spatial,1.754160954
168,Proxiblasteur néo,Proxiblasteur,néo,1.013296668
169,Rouleau carbone chic,Rouleau,carbone chic,1.060965273
170,Rouleau large,Rouleau,large,1.742851978
171,Épinceau nuancé,Épinceau,nuancé,1.568314238
172,Crayon X - 5H,Crayon X - 5H,,0.9823180816
173,Seauceur chic,Seauceur,chic,1.491345423
174,Badigeonneur XP Leviathus,Badigeonneur,XP Leviathus,1.006612581
175,Double mouche-teur nuancé,Double mouche-,teur nuancé,0.86460285
176,Marqueur lourd Néo,Marqueur,lourd Néo,1.421159157
177,Marqueur léger Néo,Marqueur,léger Néo,1.397847439
178,N-ZAP 89,N-ZAP 89,,1.471471979
179,Calibre 3000 chic,Calibre 3000 chic,,0.772594938
180,Méganettoyeur modifié,Méganettoyeur,modifié,0.8881716361
181,Rafalblasteur néo,Rafalblasteur,néo,1.015922765
182,Turboblasteur chic,Turboblasteur,chic,0.9678866025
183,Arroseur léger requin,Arroseur,léger requin,1.100892106
184,Rouleau Krakeurs,Rouleau,Krakeurs,1.542700226
185,Concentraceur E+A,Concentraceur,E+A,0.9293368646
186,Concentraceur zoom E+A,Concentraceur,zoom E+A,0.9293368646
187,Seauceur nuancé,Seauceur,nuancé,1.491345423
188,Kraken royal,Kraken royal,,1.07684955
189,Multi-leurres,Multi-leurres,,1.046013733
190,Limu et Lumi,Limu et,Lumi,1.816760707
191,Anne,Anne,,2.702051342
192,G. Latineux,G. Latineux,,1.204324762
193,Fridéric,Fridéric,,1.780604954
194,Kipik,Kipik,,2.711748309
195,"Angie, l'anguille de l'angoisse","Angie, l'anguille",de l'angoisse,0.8413262293
196,"Pasquale, le génie du squale","Pasquale, le génie",du squale,0.7456549913
197,"Raimi, la tempête de Méga Raimi","Raimi, la tempête",de Méga Raimi,0.7667766012
198,E+A,E+A,,3.785840756
