No.,Name,Title Line 1,Title Line 2,Title Scale
1,Pistola élite,Pistola élite,,1.10857822
2,Marker,Marker,,1.945530643
3,Sparacolore recluta,Sparacolore,recluta,1.179324757
4,Marker d'assalto,Marker,d'assalto,1.537368629
5,Aerografo,Aerografo,,1.37577091
6,Splasher,Splasher,,1.621175335
7,Calibro 2000,Calibro 2000,,1.069650503
8,N-ZAP85,N-ZAP85,,1.624744646
9,Splasher élite,Splasher élite,,0.9818721873
10,Calibro 3000,Calibro 3000,,1.0746355
11,Sweeper,Sweeper,,1.666888863
12,Blaster lunar,Blaster lunar,,1.040460936
13,Blaster,Blaster,,1.916226937
14,Blaster a distanza,Blaster,a distanza,1.31164047
15,Blaster da mischia,Blaster,da mischia,1.28078482
16,Blaster rapido,Blaster rapido,,0.9712891359
17,Blaster élite,Blaster élite,,1.082854705
18,Triplete compatto,Triplete,compatto,1.448900831
19,Triplete,Triplete,,1.709551708
20,Strizzer,Strizzer,,1.757454439
21,Rullo di carbonio,Rullo,di carbonio,1.221017824
22,Rullo splat,Rullo splat,,1.285694365
23,Rullo dinamo,Rullo dinamo,,1.071843969
24,Flexi-rullo,Flexi-rullo,,1.36185063
25,Calamaravaggio,Calamaravaggio,,0.8735622585
26,Tinturicchio,Tinturicchio,,1.11720745
27,Kalamarapid α,Kalamarapid α,,0.9455899203
28,Splatter a carica,Splatter,a carica,1.66773104
29,Splatter con mirino,Splatter,con mirino,1.291970972
30,Tinter a carica 4K,Tinter a,carica 4K,1.425034238
31,Tinter con mirino 4K,Tinter con,mirino 4K,1.292396895
32,Bimbamboom 14-I,Bimbamboom,14-I,1.074230375
33,Tintubator,Tintubator,,1.263854028
34,Secchiostro,Secchiostro,,1.173675094
35,Secchiostro triplo,Secchiostro,triplo,1.173675094
36,Secchiostro centrifuga,Secchiostro,centrifuga,1.173675094
37,Secchiostro vasca,Secchiostro,vasca,1.173675094
38,Termosecchiostro,Termosecchiostro,,0.7693819945
39,Mini splatling,Mini splatling,,0.9911822493
40,Splatling a tanica,Splatling,a tanica,1.542510772
41,Idrante,Idrante,,1.881280789
42,Tetrapenna,Tetrapenna,,1.182459613
43,Nautilus 47,Nautilus 47,,1.180745555
44,Ripolpella duplo,Ripolpella,duplo,1.42074101
45,Repolper duplo,Repolper,duplo,1.57841816
46,Kelvin duplo 525,Kelvin,duplo 525,1.394119084
47,Sweeper duplo,Sweeper duplo,,0.953409221
48,Moscarpino duplo nero,Moscarpino,duplo nero,1.211887323
49,Sparasole,Sparasole,,1.444729232
50,Sparatenda,Sparatenda,,1.21961702
51,Bombrello,Bombrello,,1.407888433
52,Tri-calamarco,Tri-calamarco,,0.9984562957
53,ARCO-RAL 450,ARCO-RAL 450,,0.9792048331
54,Splattalama,Splattalama,,1.146387891
55,Tergilama,Tergilama,,1.382320546
56,Bomba splash,Bomba splash,,1.019042422
57,Appiccibomba,Appiccibomba,,1.004677734
58,Granata,Granata,,1.711650887
59,Spruzzatore,Spruzzatore,,1.157559162
60,Muro di colore,Muro,di colore,1.56373951
61,Bomba a gassosa,Bomba,a gassosa,1.393623488
62,Bomba curling,Bomba,curling,1.934668701
63,Robo-bomba,Robo-bomba,,1.155277358
64,Trasferitore,Trasferitore,,1.123773198
65,Cimice,Cimice,,2.081923684
66,Mina,Mina,,2.862882013
67,Nebbia tossica,Nebbia,tossica,1.908762498
68,Sparalinee,Sparalinee,,1.320922292
69,Torpedinatore,Torpedinatore,,0.9668125174
70,Spruzzatore,Ultraturbinator,,0.8836419718
71,Gran bolla scudo,Gran bolla,scudo,1.341490109
72,Spruzzatore,Molluscatto,,1.152623742
73,Splatling a tanica,Lanciarazzi,,1.252621967
74,Pioggia di colore,Pioggia,di colore,1.56373951
75,Splatling a tanica,Granbotto,,1.349252872
76,Sonar esplosivo,Sonar,esplosivo,1.521260008
77,Vampinchiostro,Vampinchiostro,,0.8869032638
78,Splatling a tanica,Tintofono 5.1,,1.040046754
79,Jet splat,Jet splat,,1.483830391
80,Spruzzatore,Mega timbro,,1.076646185
81,Granchio armato,Granchio,armato,1.557100935
82,Motosqualo,Motosqualo,,1.201671036
83,Triplo tornado,Triplo,tornado,1.745179742
