No.,Name,Title Line 1,Title Line 2,Title Scale
1,ヒーローシューター,ヒーローシューター,,1.27197909
2,ボールドマーカー,ボールドマーカー,,1.265945552
3,わかばシューター,わかばシューター,,1.234257252
4,シャープマーカー,シャープマーカー,,1.332427068
5,プロモデラーMG,プロモデラーMG,,1.259235787
6,スプラシューター,スプラシューター,,1.344999473
7,.52ガロン,.52ガロン,,1.916988349
8,N-ZAP85,N-ZAP85,,1.624744646
9,プライムシューター,プライムシューター,,1.175126312
10,.96ガロン,.96ガロン,,1.873022198
11,ジェットスイーパー,ジェットスイーパー,,1.168819249
12,ノヴァブラスター,ノヴァブラスター,,1.296082349
13,ホットブラスター,ホットブラスター,,1.282512896
14,ロングブラスター,ロングブラスター,,1.281255415
15,クラッシュブラスター,クラッシュブラスター,,1.047393474
16,ラピッドブラスター,ラピッドブラスター,,1.151480944
17,Rブラスターエリート,Rブラスターエリート,,1.063736208
18,L3リールガン,L3リールガン,,1.507584117
19,H3リールガン,H3リールガン,,1.453096848
20,ボトルガイザー,ボトルガイザー,,1.370300203
21,カーボンローラー,カーボンローラー,,1.330843814
22,スプラローラー,スプラローラー,,1.530540314
23,ダイナモローラー,ダイナモローラー,,1.347542479
24,ヴァリアブルローラー,ヴァリアブルローラー,,1.011580538
25,パブロ,パブロ,,3.110031856
26,ホクサイ,ホクサイ,,2.286714826
27,スクイックリンα,スクイックリンα,,1.244444784
28,スプラチャージャー,スプラチャージャー,,1.187766475
29,スプラスコープ,スプラスコープ,,1.447730163
30,リッター4K,リッター4K,,1.777879147
31,4Kスコープ,4Kスコープ,,1.726587551
32,14式竹筒銃・甲,14式竹筒銃・甲,,1.132457128
33,ソイチューバー,ソイチューバー,,1.465866105
34,バケットスロッシャー,バケットスロッシャー,,1.011449918
35,ヒッセン,ヒッセン,,2.438190471
36,スクリュースロッシャー,スクリュースロッシャー,,0.9674385115
37,オーバーフロッシャー,オーバーフロッシャー,,1.042380087
38,エクスプロッシャー,エクスプロッシャー,,1.149623507
39,スプラスピナー,スプラスピナー,,1.432127264
40,バレルスピナー,バレルスピナー,,1.376555893
41,ハイドラント,ハイドラント,,1.670662539
42,クーゲルシュライバー,クーゲルシュライバー,,1.002013249
43,ノーチラス47,ノーチラス47,,1.565690978
44,スパッタリー,スパッタリー,,1.639224578
45,スプラマニューバー,スプラマニューバー,,1.13910049
46,ケルビン525,ケルビン525,,1.423804639
47,デュアルスイーパー,デュアルスイーパー,,1.10537374
48,クアッドホッパーブラック,クアッドホッパーブラック,,0.8266120126
49,パラシェルター,パラシェルター,,1.413281369
50,キャンピングシェルター,キャンピングシェルター,,0.9361336873
51,スパイガジェット,スパイガジェット,,1.228070393
52,トライストリンガー,トライストリンガー,,1.161718408
53,LACT-450,LACT-450,,1.478130405
54,ジムワイパー,ジムワイパー,,1.57059185
55,ドライブワイパー,ドライブワイパー,,1.257619849
56,スプラッシュボム,スプラッシュボム,,1.219284817
57,キューバンボム,キューバンボム,,1.39591843
58,クイックボム,クイックボム,,1.58040646
59,スプリンクラー,スプリンクラー,,1.461494009
60,スプラッシュシールド,スプラッシュシールド,,1.017092322
61,タンサンボム,タンサンボム,,1.517395174
62,カーリングボム,カーリングボム,,1.376555777
63,ロボットボム,ロボットボム,,1.595198251
64,ジャンプビーコン,ジャンプビーコン,,1.32120018
65,ポイントセンサー,ポイントセンサー,,1.209316889
66,トラップ,トラップ,,2.697402944
67,ポイズンミスト,ポイズンミスト,,1.408963532
68,ラインマーカー,ラインマーカー,,1.496933299
69,トーピード,トーピード,,2.245051957
70,スプリンクラー,ウルトラショット,,1.337427828
71,グレートバリア,グレートバリア,,1.442668631
72,スプリンクラー,ショクワンダー,,1.523106971
73,バレルスピナー,マルチミサイル,,1.318894327
74,アメフラシ,アメフラシ,,1.951645154
75,バレルスピナー,ナイスダマ,,1.925285181
76,ホップソナー,ホップソナー,,1.629006493
77,キューインキ,キューインキ,,1.850912419
78,バレルスピナー,メガホンレーザー5.1ch,,0.861432259
79,ジェットパック,ジェットパック,,1.452558184
80,スプリンクラー,ウルトラハンコ,,1.385801987
81,カニタンク,カニタンク,,1.999936709
82,サメライド,サメライド,,1.964851341
83,トリプルトルネード,トリプルトルネード,,1.113854252
84,エナジースタンド,エナジースタンド,,1.26492447
85,ブキチ,ブキチ,,3.394124443
86,オームラ,オームラ,,2.448852512
87,ハナガサ,ハナガサ,,2.161268625
88,ヤシガニさん,ヤシガニさん,,1.55686886
89,パル子,パル子,,2.644293832
90,グレートバリア,スパイキー,,1.946315295
91,クマサン,クマサン,,2.294746664
92,マザー,マザー,,3.20670822
93,コジャケ,コジャケ,,2.530257538
94,アタリメ,アタリメ,,2.45191648
95,司令,司令,,3.859692308
96,アオリ,アオリ,,3.12241839
97,ホタル,ホタル,,2.992509782
98,フウカ,フウカ,,3.239837213
99,ウツホ,ウツホ,,2.91680253
100,マンタロー,マンタロー,,2.070172425
101,ジャッジくん,ジャッジくん,,1.711510663
102,コジャケ,コジャッジくん,,1.477747129
103,バトロイカ,バトロイカ,,1.981236761
104,アイロニック,アイロニック,,1.684663272
105,クラーゲス,クラーゲス,,1.990290173
106,ロッケンベルグ,ロッケンベルグ,,1.337342324
107,エゾッコ,エゾッコ,,2.445034212
108,フォーリマ,フォーリマ,,2.079507222
109,ホッコリー,ホッコリー,,2.077853669
110,ホタックス,ホタックス,,1.918688516
111,ジモン,ジモン,,3.30400988
112,シグレニ,シグレニ,,2.552499717
113,アロメ,アロメ,,3.26956247
114,ヤコ,ヤコ,,4.871835941
115,アナアキ,アナアキ,,2.38117
116,エンペリー,エンペリー,,1.990290173
117,タタキケンサキ,タタキケンサキ,,1.387028108
118,バラズシ,バラズシ,,2.287381944
119,シチリン,シチリン,,2.498805692
120,タコプター,タコトルーパー,,1.465318195
121,タテタコトルーパー,タテタコトルーパー,,1.131374659
122,バイタコトルーパー,バイタコトルーパー,,1.10350678
123,タコホッパー,タコホッパー,,1.648530994
124,タコポッド,タコプター,,2.132681273
125,ボムタコプター,ボムタコプター,,1.410738358
126,タコミラーボール,タコミラーボール,,1.303191844
127,タコポッド,タコポッド,,2.013289751
128,タコポッド,大容量タコポッド,,1.1295204
129,スタコラー,スタコラー,,2.098431401
130,タコスナイパー,タコスナイパー,,1.421481194
131,タココマンダー,タココマンダー,,1.482217157
132,タコミサイル,タコミサイル,,1.62092377
133,タコポッド,タコッペリン号,,1.362678754
134,インクリーナー,インクリーナー,,1.522811009
135,タコスタンプ,タコスタンプ,,1.670662709
136,ビートタコスタンプ,ビートタコスタンプ,,1.162579774
137,タコドーザー,タコドーザー,,1.761501298
138,タコプター,タコストライク,,1.476911915
139,DJタコワサ将軍,タコゾネス,,1.852935774
140,DJタコワサ将軍,DJタコワサ将軍,,1.16337763
141,シャケ,シャケ,,3.30261816
142,ドスコイ,ドスコイ,,2.51806716
143,タマヒロイ,タマヒロイ,,2.042132674
144,バクダン,バクダン,,2.334376125
145,ヘビ,ヘビ,,4.411310071
146,テッパン,テッパン,,2.348360361
147,タワー,タワー,,3.506458496
148,モグラ,モグラ,,3.388256738
149,コウモリ,コウモリ,,2.559165212
150,カタパッド,カタパッド,,1.92151005
151,ハシラ,ハシラ,,3.061454248
152,ダイバー,ダイバー,,2.465797169
153,ナベブタ,ナベブタ,,2.372523271
154,テッキュウ,テッキュウ,,2.114276561
155,キンシャケ,キンシャケ,,2.011223994
156,グリル,グリル,,3.119933433
157,ハコビヤ,ハコビヤ,,2.302834801
158,ドロシャケ,ドロシャケ,,2.035769398
159,デンチナマズ,デンチナマズ,,1.598776776
160,ガチヤグラ,ガチヤグラ,,1.918219327
161,ガチホコ,ガチホコ,,2.376118289
162,ガチアサリ,ガチアサリ,,1.839027177
163,もみじシューター,もみじシューター,,1.323430482
164,プロモデラーRG,プロモデラーRG,,1.313453185
165,スプラシューターコラボ,スプラシューターコラボ,,0.9562289235
166,プライムシューターコラボ,プライムシューターコラボ,,0.8671130234
167,スペースシューター,スペースシューター,,1.150298238
168,ノヴァブラスターネオ,ノヴァブラスターネオ,,1.003552402
169,カーボンローラーデコ,カーボンローラーデコ,,1.055288388
170,ワイドローラー,ワイドローラー,,1.544713856
171,パブロ・ヒュー,パブロ・ヒュー,,1.539557038
172,R-PEN/5H,R-PEN/5H,,1.513806201
173,バケットスロッシャーデコ,バケットスロッシャーデコ,,0.8439637666
