No.,Name,Title Line 1,Title Line 2,Title Scale
1,히어로 슈터,히어로 슈터,,1.230491724
2,볼드 마커,볼드 마커,,1.488672632
3,새싹 슈터,새싹 슈터,,1.488301787
4,샤프 마커,샤프 마커,,1.482024366
5,프로모델러 MG,프로모델러 MG,,0.9031023399
6,스플랫 슈터,스플랫 슈터,,1.228467243
7,.52 갤런,.52 갤런,,1.530671261
8,N-ZAP85,N-ZAP85,,1.244617458
9,프라임 슈터,프라임 슈터,,1.225191587
10,.96 갤런,.96 갤런,,1.493920587
11,제트 스위퍼,제트 스위퍼,,1.220684858
12,노바 블래스터,노바 블래스터,,1.035359517
13,핫 블래스터,핫 블래스터,,1.219687952
14,롱 블래스터,롱 블래스터,,1.225191678
15,크래시 블래스터,크래시 블래스터,,0.9014669433
16,래피드 블래스터,래피드 블래스터,,0.9007871597
17,R 블래스터 엘리트,R 블래스터 엘리트,,0.7652187977
18,L3 릴 건,L3 릴 건,,1.553360068
19,H3 릴 건,H3 릴 건,,1.47839144
20,보틀 가이저,보틀 가이저,,1.218195507
21,카본 롤러,카본 롤러,,1.484971939
22,스플랫 롤러,스플랫 롤러,,1.226197696
23,다이너모 롤러,다이너모 롤러,,1.039141943
24,베리어블 롤러,베리어블 롤러,,1.041678996
25,파블로,파블로,,2.216685642
26,호쿠사이,호쿠사이,,1.680915683
27,스퀵 클린 α,스퀵 클린 α,,1.140311991
28,스플랫 차저,스플랫 차저,,1.214974328
29,스플랫 스코프,스플랫 스코프,,1.036977133
30,리터 4K,리터 4K,,1.613750077
31,4K 스코프,4K 스코프,,1.295051773
32,14식 대나무 총 갑,14식 대나무 총 갑,,0.7553579794
33,소이 튜버,소이 튜버,,1.506696482
34,버킷 슬로셔,버킷 슬로셔,,1.228719985
35,물통,물통,,3.341147181
36,스크루 슬로셔,스크루 슬로셔,,1.036257554
37,오버플로셔,오버플로셔,,1.352803023
38,익스플로셔,익스플로셔,,1.350356472
39,스플랫 스피너,스플랫 스피너,,1.039322714
40,배럴 스피너,배럴 스피너,,1.233031727
41,하이드런트,하이드런트,,1.347006822
42,쿠겔 슈라이버,쿠겔 슈라이버,,1.038419292
43,노틸러스 47,노틸러스 47,,1.119580312
44,스퍼터리,스퍼터리,,1.700051604
45,스플랫 머누버,스플랫 머누버,,1.04167893
46,켈빈 525,켈빈 525,,1.389009229
47,듀얼 스위퍼,듀얼 스위퍼,,1.225191587
48,블랙 쿼드 호퍼,블랙 쿼드 호퍼,,0.9609242637
49,파라 셸터,파라 셸터,,1.480188217
50,캠핑 셸터,캠핑 셸터,,1.500263403
51,스파이 가젯,스파이 가젯,,1.211770228
52,트라이 스트링거,트라이 스트링거,,0.9006513655
53,LACT-450,LACT-450,,1.132549411
54,사무 와이퍼,사무 와이퍼,,1.214974328
55,드라이브 와이퍼,드라이브 와이퍼,,0.8963266816
56,스플래시 밤,스플래시 밤,,1.220934407
57,빨판 밤,빨판 밤,,1.879814727
58,퀵 밤,퀵 밤,,2.668198563
59,스프링클러,스프링클러,,1.355258456
60,스플래시 실드,스플래시 실드,,1.037157217
61,탄산 밤,탄산 밤,,1.882777167
62,컬링 밤,컬링 밤,,1.923395763
63,로봇 밤,로봇 밤,,1.906818
64,점프 비컨,점프 비컨,,1.50366226
65,포인트 센서,포인트 센서,,1.225442982
66,트랩,트랩,,3.392379287
67,포이즌 미스트,포이즌 미스트,,1.040046557
68,라인 마커,라인 마커,,1.48719009
69,토피도,토피도,,2.250085181
70,스프링클러,울트라 샷,,1.475435216
71,그레이트 배리어,그레이트 배리어,,0.9055667903
72,스프링클러,쇼크 원더,,1.501772
73,배럴 스피너,멀티 미사일,,1.229478742
74,먹구름,먹구름,,2.253480915
75,배럴 스피너,나이스옥,,1.680915683
76,홉 소나,홉 소나,,1.906818
77,흡입기,흡입기,,2.25093354
78,배럴 스피너,메가폰 레이저 5.1ch,,0.658962176
79,제트 팩,제트 팩,,1.909866452
80,스프링클러,울트라 스탬프,,1.033746875
81,크랩 탱크,크랩 탱크,,1.50366226
82,샤크 라이드,샤크 라이드,,1.217202481
83,트리플 토네이도,트리플 토네이도,,0.9018751875
84,에너지 스탠드,에너지 스탠드,,1.040952813
85,부키치,부키치,,2.250085489
86,오무라,오무라,,2.234931538
87,꽃우산,꽃우산,,2.216685642
88,Mr. 야자집게,Mr. 야자집게,,1.020518003
89,펄시,펄시,,3.394307326
90,그레이트 배리어,스파이키,,1.681388915
91,Mr. 베어,Mr. 베어,,1.490937687
92,마더,마더,,3.365619735
93,꼬마연어,꼬마연어,,1.687564059
94,마르징오,마르징오,,1.679025586
95,사령관,사령관,,2.215863495
96,아오리,아오리,,2.245855415
97,호타루,호타루,,2.234931538
98,후우카,후우카,,2.227431152
99,우츠호,우츠호,,2.250085181
100,만타로,만타로,,2.219980641
