No.,Name,Title Line 1,Title Line 2,Title Scale
1,Helden-spetter,Helden-,spetter,1.807129001
2,Spettertuit,Spettertuit,,1.182526543
3,Super-spetter jr.,Super-,spetter jr.,1.278148608
4,Spetter-spuit,Spetter-,spuit,1.625207979
5,Kladder-werper,Kladder-,werper,1.618497793
6,Super-spetter,Super-,spetter,1.807129001
7,.52 Kaliter,.52 Kaliter,,1.272547235
8,N-ZAP '85,N-ZAP '85,,1.412708572
9,Superspetter Pro,Superspetter,Pro,1.038892633
10,.96 Kaliter,.96 Kaliter,,1.253022337
11,Straal-plonzer,Straal-,plonzer,1.891265116
12,Lunablaster,Lunablaster,,1.166862438
13,Klodder-blaster,Klodder-,blaster,1.63095545
14,Teleblaster,Teleblaster,,1.19880019
15,Knalblaster,Knalblaster,,1.180212355
16,Flitsblaster,Flitsblaster,,1.189591617
17,Flitsblaster Pro,Flitsblaster,Pro,1.189591617
18,L-3 Stompsnuit,L-3,Stompsnuit,1.203515759
19,H-3 Langsnuit,H-3,Langsnuit,1.398595599
20,Floeper,Floeper,,1.88489935
21,Carbon-roller,Carbon-,roller,1.768006094
22,Klodder-roller,Klodder-,roller,1.63095545
23,Dynamo-roller,Dynamo-,roller,1.580844847
24,Flexroller,Flexroller,,1.443499009
25,Inktkwast,Inktkwast,,1.367372542
26,Octokwast,Octokwast,,1.307402404
27,Octopoets,Octopoets,,1.351113045
28,Bloplader,Bloplader,,1.486080455
29,Schelp-schutter,Schelp-,schutter,1.5546307
30,E-liter 4K,E-liter 4K,,1.424872457
31,E-liter 4K met vizier,E-liter 4K,met vizier,1.334866462
32,Bamboem 14-A,Bamboem,14-A,1.476633765
33,Spetbuizer,Spetbuizer,,1.282460776
34,Morser,Morser,,1.994023592
35,Triomorser,Triomorser,,1.265281915
36,Klots-trommel,Klots-,trommel,1.651439613
37,Spatkuip,Spatkuip,,1.567373694
38,Klieder-kachel,Klieder-,kachel,1.72992145
39,Mini-Spetling,Mini-,Spetling,1.642917729
40,Spetling,Spetling,,1.642917729
41,Blusling,Blusling,,1.732597379
42,Stylo-spetling,Stylo-,spetling,1.661017694
43,Nautilus 47,Nautilus 47,,1.180745555
44,Dubbel-spatters,Dubbel-,spatters,1.613501444
45,Dubbel-knallers,Dubbel-,knallers,1.709551531
46,Kelvin 525,Kelvin 525,,1.274331161
47,Dubbel-plonzers,Dubbel-,plonzers,1.664544185
48,Quadhoppers Zwart,Quadhoppers,Zwart,1.076646185
49,Plenzer,Plenzer,,1.85501839
50,Kampeer-plenzer,Kampeer-,plenzer,1.439060847
51,Paraplenzer,Paraplenzer,,1.175434885
52,Triospanner,Triospanner,,1.14689096
53,RIF-LEX 450,RIF-LEX 450,,1.182704921
54,Stempel-zwieper,Stempel-,zwieper,1.553706639
55,Wisserblad-zwieper,Wisserblad-,zwieper,1.173850895
56,Klodderbom,Klodderbom,,1.173433433
57,Kleefbom,Kleefbom,,1.467340856
58,Ballonbom,Ballonbom,,1.366657632
59,Inkt-sprinkler,Inkt-,sprinkler,1.523033181
60,Inktgordijn,Inktgordijn,,1.232147698
61,Bomblikje,Bomblikje,,1.397847439
62,Curlingbom,Curlingbom,,1.212824722
63,Robobom,Robobom,,1.565378088
64,Spring-schotel,Spring-,schotel,1.86428159
65,Detector,Detector,,1.543003825
66,Inktmijn,Inktmijn,,1.642573215
67,Gifmist,Gifmist,,1.871401751
68,Ketskogel,Ketskogel,,1.36856614
69,Torpedobom,Torpedobom,,1.136850011
70,Inkt-sprinkler,Trizooka,,1.637769549
71,Joekel-schild,Joekel-,schild,1.892634496
72,Inkt-sprinkler,Tentakabel,,1.22208839
73,Spetling,Spetter-,raketten,1.55032667
74,Spetterbui,Spetterbui,,1.27619795
75,Spetling,Coole bom,,1.343472497
76,Golfbeker,Golfbeker,,1.420901609
77,Inktdief,Inktdief,,1.706202826
78,Spetling,Megalofoon,5.1,1.191625384
79,Inktjet,Inktjet,,1.896755434
80,Inkt-sprinkler,Ultra-,stempel,1.725210483
81,Krabben-tank,Krabben-,tank,1.520854041
82,Opblaashaai,Opblaashaai,,1.150256391
83,Tri-tornado,Tri-tornado,,1.196239307
84,Reddingsbar,Reddingsbar,,1.115716746
85,Krabbert,Krabbert,,1.535449082
86,Naut,Naut,,2.819637305
87,Kwalbert,Kwalbert,,1.529458258
88,Koko,Koko,,2.857663823
89,Mona,Mona,,2.58874064
90,Joekel-schild,Mikey,,2.279650212
91,Ted B.,Ted B.,,2.208607222
92,Goudelieve,Goudelieve,,1.271850391
93,Salmini,Salmini,,1.905052264
94,Kraak,Kraak,,2.343709992
95,Kapitein,Kapitein,,1.616828856
96,Callie,Callie,,2.45556487
97,Marie,Marie,,2.428655409
98,Haya,Haya,,2.885005896
99,Muriël,Muriël,,2.162908843
100,Ray,Ray,,3.795003772
101,Justus,Justus,,2.01710979
102,Salmini,Justus jr.,,1.379735598
103,SquidForce,SquidForce,,1.274330963
104,Zink,Zink,,3.1632043
105,Krak-On,Krak-On,,1.724830777
106,Rockenberg,Rockenberg,,1.184782375
107,Zekko,Zekko,,2.329779932
108,Forge,Forge,,2.495921645
109,Firefin,Firefin,,2.097168852
110,Skalop,Skalop,,2.141638531
111,Splash Mob,Splash Mob,,1.223805334
112,Inkline,Inkline,,2.025120978
113,Tentatek,Tentatek,,1.472024369
114,Takoroka,Takoroka,,1.51556203
115,Annaki,Annaki,,1.976928046
116,Enperry,Enperry,,1.752984374
117,Toni Kensa,Toni Kensa,,1.230528192
118,Barazushi,Barazushi,,1.443133606
119,Emberz,Emberz,,1.957187389
120,Octokopter,Octo-,rekruut,1.769602428
121,Octoschild-rekruut,Octoschild-,rekruut,1.22330417
122,Octokrijger,Octokrijger,,1.205435616
123,Octosprong-krijger,Octosprong-,krijger,1.131660524
124,Octopod,Octokopter,,1.2305281
125,Octobommer,Octobommer,,1.103254503
126,Octodisco,Octodisco,,1.418331125
127,Octopod,Octopod,,1.704579865
128,Octopod,Mega-,Octopod,1.704579865
129,Octoskater,Octoskater,,1.245779663
130,Octo-schutter,Octo-,schutter,1.5546307
131,Octo-commandant,Octo-,commandant,1.080150423
132,Octoraket,Octoraket,,1.377704974
133,Octopod,Octo-,zeppelin,1.666667513
134,Verf-schraper,Verf-,schraper,1.572088183
135,Octo-stempel,Octo-,stempel,1.725210483
136,Schok-Octostempel,Schok-,Octostempel,1.095297566
137,Doucher,Doucher,,1.68697431
138,Octokopter,Octobal,,1.814238012
139,DJ Octavio,Octoling,,1.637427516
140,DJ Octavio,DJ Octavio,,1.276613535
141,Salmo,Salmo,,2.359936328
142,Sallog,Sallog,,2.276589031
143,Zammel,Zammel,,1.788831978
144,Staalkop,Staalkop,,1.594793014
145,Staal,Staal,,2.65661516
146,Jutter,Jutter,,2.064924429
147,Staaplo,Staaplo,,1.841943658
148,Snaai,Snaai,,2.542051159
149,Miezer,Miezer,,2.070377842
150,Salmodrone,Salmodrone,,1.200567019
151,Salmonoliet,Salmonoliet,,1.171920732
152,Dompelaar,Dompelaar,,1.320838673
153,Dreksel,Dreksel,,1.857215614
154,Bombarie,Bombarie,,1.500478907
155,Goldie,Goldie,,2.220492424
156,Griller,Griller,,2.174532633
157,Moeder-schip,Moeder-,schip,1.689883241
158,Moddermuil,Moddermuil,,1.186575743
159,Voltvis,Voltvis,,1.977115374
160,Torentwist,Torentwist,,1.249153957
161,Bazookarper,Bazookarper,,1.136911956
162,Superschelp,Superschelp,,1.140882726
163,Gemodde Superspetter jr.,Gemodde,Superspetter jr.,0.8392211513
164,Kladderwerper Pro,Kladderwerper Pro,,0.7373534841
165,Tentatek Superspetter,Tentatek,Superspetter,1.038892633
166,Forge Superspetter Pro,Forge,Superspetter Pro,0.7945680884
167,Superspetter Nova,Superspetter Nova,,0.732462413
168,Lunablaster Neo,Lunablaster,Neo,1.166862438
169,Carbon-roller Deco,Carbon-,roller Deco,1.255631088
170,Breedroller,Breedroller,,1.238180433
171,Inktkwast Nouveau,Inktkwast,Nouveau,1.367372542
172,Schotlood 5H,Schotlood 5H,,1.055253033
173,Morser Deco,Morser Deco,,1.105958606
174,Zink Mini-Spetling,Zink Mini-,Spetling,1.353766962
175,Dubbelspatters Nouveau,Dubbelspatters,Nouveau,0.9012792632
176,Spettertuit Neo,Spettertuit,Neo,1.182526543
177,Spetterspuit Neo,Spetterspuit,Neo,1.072723988
178,N-ZAP '89,N-ZAP '89,,1.400594535
179,.96 Kaliter Deco,.96 Kaliter,Deco,1.253022337
180,Gemodde Straalplonzer,Gemodde,Straalplonzer,1.031562456
181,Knalblaster Neo,Knalblaster,Neo,1.180212355
182,Flitsblaster Deco,Flitsblaster,Deco,1.189591617
183,L-3 Stompsnuit D,L-3,Stompsnuit D,1.018512852
184,Krak-On Klodderroller,Krak-On,Klodderroller,1.050921203
185,Zekkofin Bloplader,Zekkofin,Bloplader,1.486080455
186,Zekkofin Schelpschutter,Zekkofin,Schelpschutter,0.894288432
187,Triomorser Nouveau,Triomorser,Nouveau,1.265281915
188,Monstermorfose,Monstermorfose,,0.8411342658
189,Voorschutter,Voorschutter,,1.038342106
190,Krabbie en Bertje,Krabbie en,Bertje,1.261211032
191,Annie,Annie,,2.401134038
192,Kwalfred,Kwalfred,,1.547572636
193,Fred Tuur,Fred Tuur,,1.398845243
194,Spyke,Spyke,,2.291644513
195,Alen voor één Muriël,Alen voor één,Muriël,0.9805978665
196,Roofdier onder de roofdieren -Haya,Roofdier onder de,roofdieren - Haya,0.7616365999
197,De mantastorm Ray,De mantastorm,Ray,0.8907954471
198,Zekkofin,Zekkofin,,1.581283021
