No.,Name,Title Line 1,Title Line 2,Title Scale
1,英雄射擊槍,英雄射擊槍,,1.180611765
2,廣域標記槍,廣域標記槍,,1.180611765
3,新葉射擊槍,新葉射擊槍,,1.180611765
4,窄域標記槍,窄域標記槍,,1.180611765
5,專業模型槍MG,專業模型槍MG,,0.8758125841
6,斯普拉射擊槍,斯普拉射擊槍,,0.9838431373
7,.52加侖,.52加侖,,1.606372594
8,N-ZAP85,N-ZAP85,,1.244617458
9,頂尖射擊槍,頂尖射擊槍,,1.180611765
10,.96加侖,.96加侖,,1.56594493
11,噴射清潔槍,噴射清潔槍,,1.180611765
12,新星爆破槍,新星爆破槍,,1.180611765
13,火熱爆破槍,火熱爆破槍,,1.180611765
14,遠距爆破槍,遠距爆破槍,,1.180611765
15,衝塗爆破槍,衝塗爆破槍,,1.180611765
16,快速爆破槍,快速爆破槍,,1.180611765
17,快速爆破槍 精英,快速爆破槍 精英,,0.8928251641
18,L3捲管槍,L3捲管槍,,1.412962794
19,H3捲管槍,H3捲管槍,,1.350661751
20,開瓶噴泉槍,開瓶噴泉槍,,1.180611765
21,碳纖維滾筒,碳纖維滾筒,,1.180611765
22,斯普拉滾筒,斯普拉滾筒,,1.180611765
23,電動馬達滾筒,電動馬達滾筒,,0.9838431373
24,可變式滾筒,可變式滾筒,,1.180611765
25,巴勃羅,巴勃羅,,1.967686275
26,北齋,北齋,,2.951529412
27,魷快潔α,魷快潔α,,1.556926357
28,斯普拉蓄力狙擊槍,斯普拉蓄力狙擊槍,,0.7378823529
29,斯普拉準星槍,斯普拉準星槍,,0.9838431373
30,公升4K,公升4K,,1.69186577
31,4K準星槍,4K準星槍,,1.314981214
32,14式竹筒槍·甲,14式竹筒槍·甲,,0.9052145008
33,高壓油管槍,高壓油管槍,,1.180611765
34,飛濺潑桶,飛濺潑桶,,1.475764706
35,洗筆桶,洗筆桶,,1.967686275
36,迴旋潑桶,迴旋潑桶,,1.475764706
37,滿溢泡澡潑桶,滿溢泡澡潑桶,,0.9838431373
38,爆炸潑桶,爆炸潑桶,,1.475764706
39,斯普拉旋轉槍,斯普拉旋轉槍,,0.9838431373
40,桶裝旋轉槍,桶裝旋轉槍,,1.180611765
41,消防栓旋轉槍,消防栓旋轉槍,,0.9838431373
42,圓珠筆,圓珠筆,,1.967686275
43,鸚鵡螺號47,鸚鵡螺號47,,1.102410694
