No.,Name,Title Line 1,Title Line 2,Title Scale
1,Helden-waffe,Helden-,waffe,1.830760472
2,Disperser,Disperser,,1.469369371
3,Junior-Kleckser,Junior-,Kleckser,1.583839055
4,Fein-Disperser,Fein-,Disperser,1.469369371
5,Airbrush MG,Airbrush,MG,1.598043944
6,Kleckser,Kleckser,,1.583839055
7,.52 Gallon,0.52,Gallon,2.204260504
8,N-ZAP85,N-ZAP85,,1.624744646
9,Profi-Kleckser,Profi-,Kleckser,1.583839055
10,.96 Gallon,0.96,Gallon,2.204260504
11,Platscher,Platscher,,1.434945386
12,Luna-Blaster,Luna-,Blaster,1.916226937
13,Blaster,Blaster,,1.916226937
14,Fern-Blaster,Fern-,Blaster,1.916226937
15,Kontra-Blaster,Kontra-,Blaster,1.798836136
16,Turbo-Blaster,Turbo-,Blaster,1.916226937
17,Turbo-Blaster Plus,Turbo-,Blaster Plus,1.133194089
18,L3 Tintenwerfer,L3,Tintenwerfer,1.04526402
19,S3 Tintenwerfer,S3,Tintenwerfer,1.04526402
20,Quetscher,Quetscher,,1.338884062
21,Karbon-roller,Karbon-,roller,1.74634605
22,Klecks-roller,Klecks-,roller,1.875430647
23,Dyna-roller,Dyna-,roller,2.354266758
24,Flex-Roller,Flex-,Roller,2.37882214
25,Quasto,Quasto,,1.993009863
26,Kalligraf,Kalligraf,,1.572521816
27,Sepiator α,Sepiator,α,1.640854611
28,Klecks-Konzentrator,Klecks-,Konzentrator,1.028669217
29,Ziel-Konzentrator,Ziel-,Konzentrator,1.028669217
30,E-liter 4K,E-liter 4K,,1.424872457
31,Ziel-E-liter 4K,Ziel-,E-liter 4K,1.424872457
32,Klotzer 14-A,Klotzer,14-A,1.886713856
33,T-Tuber,T-Tuber,,1.7416907
34,Schwapper,Schwapper,,1.293169736
35,3R-Schwapper,3R-,Schwapper,1.293169736
36,Trommel-Schwapper,Trommel-,Schwapper,1.293169736
37,Wannen-Schwapper,Wannen-,Schwapper,1.293169736
38,Knall-Schwapper,Knall-,Schwapper,1.293169736
39,Klecks-Splatling,Klecks-,Splatling,1.542510772
40,Splatling,Splatling,,1.542510772
41,Hydrant,Hydrant,,1.681186388
42,Kuli-Splatling,Kuli-,Splatling,1.542510772
43,Nautilus 47,Nautilus,47,1.63095545
44,Sprenkler,Sprenkler,,1.425034115
45,Klecks-Doppler,Klecks-,Doppler,1.832472194
46,Kelvin 525,Kelvin,525,2.181566375
47,Dual-Platscher,Dual-,Platscher,1.434945386
48,Quadhopper Noir,Quadhopper,Noir,1.167144729
49,Para-pluviator,Para-,pluviator,1.512164159
50,Camp-Pluviator,Camp-,Pluviator,1.495434811
51,UnderCover,UnderCover,,1.201302892
52,Tri-Stringer,Tri-,Stringer,1.637085627
53,LACT-450,LACT-450,,1.478130405
54,Stempel-Splatana,Stempel-,Splatana,1.553706639
55,Wischer-Splatana,Wischer-,Splatana,1.554322656
56,Klecks-Bombe,Klecks-,Bombe,1.875430647
57,Haft-bombe,Haft-,bombe,2.138498115
58,Insta-Bombe,Insta-,Bombe,2.135003931
59,Sprinkler,Sprinkler,,1.50780173
60,Tintenwall,Tintenwall,,1.302704793
61,Sprudel-Bombe,Sprudel-,Bombe,1.658908896
62,Curling-Bombe,Curling-,Bombe,1.708061655
63,Robo-Bombe,Robo-,Bombe,2.135003931
64,Sprung-boje,Sprung-,boje,1.764028116
65,Detektor,Detektor,,1.526182997
66,Tinten-mine,Tinten-,mine,1.857215404
67,Sepitox-Nebel,Sepitox-,Nebel,1.65366017
68,Winkel-marker,Winkel-,marker,1.828625363
69,Torpedo,Torpedo,,1.708666421
70,Sprinkler,Trizooka,,1.637769549
71,Kugelschild Pro,Kugelschild,Pro,1.179679636
72,Sprinkler,Haft-,sprung,1.980423705
73,Splatling,Schwarm-,raketen,1.43826878
74,Tinten-schauer,Tinten-,schauer,1.729015127
75,Splatling,Cool-,Kugel,2.387242456
76,Schauer-welle,Schauer-,welle,1.559268728
77,Tintegrator,Tintegrator,,1.166688807
78,Splatling,Heulboje,5.1,1.568314089
79,Tinten-düser,Tinten-,düser,1.857215404
80,Sprinkler,Ultra-,Stempel,1.699775845
81,Krabben- panzer,Krabben-,panzer,1.520854041
82,Hai-hammer,Hai-,hammer,1.721280716
83,Tri-Tintinferno,Tri-,Tintinferno,1.199533724
84,Trank-tank,Trank-,tank,2.090806775
85,Arty,Arty,,2.933584211
86,Perry Bo,Perry,Bo,2.437717271
87,Jamie-Pasquall,Jamie-,Pasquall,1.661721931
88,Palmino,Palmino,,1.776821652
89,Harmony,Harmony,,1.551438906
90,Kugelschild Pro,Sid,,4.601278902
91,Herr Bär,Herr,Bär,3.187641213
92,Adorada,Adorada,,1.692436994
93,Salmini,Salmini,,1.905052264
94,Kuttel-fisch,Kuttel-,fisch,1.879927568
95,Käpt’n,Käpt’n,,2.086910964
96,Aioli,Aioli,,3.084036068
97,Limone,Limone,,2.00114941
98,Mako,Mako,,2.658979431
99,Muri,Muri,,3.036995055
100,Mantaro,Mantaro,,1.639353207
101,Miez-richter,Miez-,richter,1.941856715
102,Salmini,Mini-,Miezrichter,1.18413405
103,TintactiX,TintactiX,,1.423998736
104,Sagitron,Sagitron,,1.605899859
105,Medusa,Medusa,,1.812402926
106,Rockberg,Rockberg,,1.482602355
107,Zekko,Zekko,,2.329779932
108,Focus,Focus,,2.46066983
109,Rilax,Rilax,,2.768240612
110,Jakomu,Jakomu,,1.804476895
111,Gian,Gian,,3.087223346
112,Alpomar,Alpomar,,1.698302952
113,Tentatek,Tentatek,,1.472024369
114,Kalamati,Kalamati,,1.539066329
115,Annaki,Annaki,,1.976928046
116,Enperry,Enperry,,1.752984374
117,Toni Kensa,Toni,Kensa,2.26450592
118,Barazushi,Barazushi,,1.443133606
119,Shichiryn,Shichiryn,,1.435733796
120,Oktokopter,Oktorekrut,,1.226485551
121,Schild-Oktorekrut,Schild-,Oktorekrut,1.226485551
122,Okto-scherge,Okto-,scherge,1.734370018
123,Oktohüpfer,Oktohüpfer,,1.214892093
124,Oktopod,Oktokopter,,1.219806582
125,Okto-bomber,Okto-,bomber,1.869894896
126,Oktodisko,Oktodisko,,1.406625291
127,Oktopod,Oktopod,,1.684075203
128,Oktopod,Riesen-,Oktopod,1.684075203
129,Oktoskater,Oktoskater,,1.234791913
130,Okto-schütze,Okto-,schütze,1.747124517
131,Okto-Kommandant,Okto-,Kommandant,1.056995767
132,Oktorakete,Oktorakete,,1.221897845
133,Oktopod,Oktozepp,,1.490211482
134,Tinten-Killer,Tinten-,Killer,1.857215404
135,Oktostemp,Oktostemp,,1.268891102
136,Schock-Oktostemp,Schock-,Oktostemp,1.268891102
