No.,Name,Title Line 1,Title Line 2,Title Scale
1,Pistola de élite,Pistola,de élite,1.736819543
2,Marcador,Marcador,,1.467066299
3,Lanzatintas novato,Lanzatintas,novato,1.177022987
4,Marcador fino,Marcador fino,,0.9745035386
5,Aerógrafo pro,Aerógrafo pro,,0.9774193711
6,Lanzatintas,Lanzatintas,,1.177022987
7,Salpicadora 2000,Salpicadora 2000,,0.7936029211
8,N-ZAP 85,N-ZAP 85,,1.484848962
9,Lanzatintas plus,Lanzatintas plus,,0.8313894929
10,Salpicadora 3000,Salpicadora 3000,,0.7963436856
11,Megabarredora,Megabarredora,,0.9104504477
12,Ultradevastador,Ultradevastador,,0.852510184
13,Devastador,Devastador,,1.232850235
14,Teledevastador,Teledevastador,,0.8935749407
15,Turbodevastador,Turbodevastador,,0.8167200203
16,Devastador exprés,Devastador,exprés,1.232850235
17,Superdevastador,Superdevastador,,0.8232379282
18,Tintambor ligero,Tintambor,ligero,1.326649738
19,Tintambor pesado,Tintambor,pesado,1.326649738
20,Tintopresor,Tintopresor,,1.174202486
21,Rodillo de carbono,Rodillo de,carbono,1.402191416
22,Rodillo básico,Rodillo básico,,1.002205462
23,Dinamorrodillo,Dinamorrodillo,,0.955894027
24,Rodillo versátil,Rodillo,versátil,1.785471333
25,Pincel,Pincel,,2.266060821
26,Brocha,Brocha,,2.022835003
27,Kalarrapid α,Kalarrapid α,,1.093064346
28,Cargatintas,Cargatintas,,1.153302
29,Cargatintas con mira,Cargatintas,con mira,1.153302
30,Entintador 4K,Entintador 4K,,0.9748670948
31,Telentintador 4K,Telentintador 4K,,0.7905619805
32,Bambufusil 14-I,Bambufusil 14-I,,0.8531871729
33,Tubofusil,Tubofusil,,1.472957906
34,Derramatic,Derramatic,,1.23908547
35,Derramatic triple,Derramatic,triple,1.23908547
36,Derramatic centrífugo,Derramatic,centrífugo,1.23908547
37,Derramatic baño,Derramatic,baño,1.23908547
38,Derramatic turbo,Derramatic,turbo,1.23908547
39,Tintralladora ligera,Tintralladora ligera,,0.6988460046
40,Tintralladora,Tintralladora,,1.05078036
41,Extintador,Extintador,,1.303787807
42,Ametrallógrafo,Ametrallógrafo,,0.9035645007
43,Subtralladora 47,Subtralladora 47,,0.822924613
44,Atomizador dual,Atomizador,dual,1.211325722
45,Difusor dual,Difusor dual,,1.123290047
46,Fundidora 525 dual,Fundidora 525,dual,0.966216631
47,Barredora dual,Barredora,dual,1.411691141
48,Motatrónic dual negro,Motatrónic,dual negro,1.232656319
49,Paratintas,Paratintas,,1.306830554
50,Paratintas maxi,Paratintas maxi,,0.854275149
51,Paratintas clásico,Paratintas,clásico,1.306830554
52,Arcromatizador triple,Arcromatizador,triple,0.8935749407
53,AR-CR0 450,AR-CR0 450,,1.164890214
54,Azotintador pro,Azotintador,pro,1.157388125
55,Azotintador brisa,Azotintador,brisa,1.157388125
56,Bomba básica,Bomba básica,,1.013771567
57,Bomba ventosa,Bomba ventosa,,0.9072894999
58,Bomba rápida,Bomba rápida,,1.023298631
59,Aspersor,Aspersor,,1.562376152
60,Telón de tinta,Telón de tinta,,0.9383886993
61,Bomba carbónica,Bomba,carbónica,1.40209743
62,Bomba deslizante,Bomba,deslizante,1.332823903
63,Robobomba,Robobomba,,1.234135609
64,Baliza transportadora,Baliza,transportadora,0.9053382146
65,Rastreador,Rastreador,,1.2485572
66,Bomba trampa,Bomba trampa,,0.958376959
67,Nebulizador,Nebulizador,,1.171745509
68,Tiralíneas,Tiralíneas,,1.388778919
69,Torpedo,Torpedo,,1.708666421
70,Aspersor,Tintazuca,triple,1.386476155
71,Megaburbuja,Megaburbuja,,1.055341764
72,Aspersor,Gancho,tentacular,1.277653683
73,Tintralladora,Lanzamisiles,,1.106798097
74,Atormentador,Atormentador,,0.9740947752
75,Tintralladora,Bola,genializante,1.103837128
76,Emiteondas,Emiteondas,,1.210577522
77,Aspiratinta,Aspiratinta,,1.207292013
78,Tintralladora,Tintófono 5.1,,1.037157413
79,Propulsor,Propulsor,,1.455457369
80,Aspersor,Ultraselladora,,0.9755191934
81,Cangrejobot,Cangrejobot,,1.11619325
82,Flotiburón,Flotiburón,,1.343328814
83,Tornado triple,Tornado triple,,0.9487222564
84,Dispensabebidas,Dispensabebidas,,0.8382005033
85,Jairo,Jairo,,2.706132186
86,Espiraldo,Espiraldo,,1.54677131
87,M. Arqués,M. Arqués,,1.362146233
88,Sr. Pinzón,Sr. Pinzón,,1.38485384
89,Armonia,Armonia,,1.66511869
90,Megaburbuja,Enrizo,,2.308089604
91,Don Oso,Don Oso,,1.7320708
92,Maridori,Maridori,,1.641198077
93,Cenutrín,Cenutrín,,1.556173493
94,Jibión,Jibión,,2.249158078
95,Capitana,Capitana,,1.537255362
96,Mar,Mar,,3.583386824
97,Tina,Tina,,3.145437729
98,Megan,Megan,,2.084483181
99,Angie,Angie,,2.386515826
100,Rayan,Rayan,,2.311917974
101,Justino,Justino,,1.815498082
102,Cenutrín,Justito,,1.870954762
103,Kalamas,Kalamas,,1.652483954
104,Tintaz,Tintaz,,2.16231206
105,Meddux,Meddux,,1.75794638
106,Rockenberg,Rockenberg,,1.184782375
107,Ezko,Ezko,,3.230991983
108,Forima,Forima,,2.074760989
109,Chokkor,Chokkor,,1.694997953
110,Skalop,Skalop,,2.141638531
111,Jimmon,Jimmon,,1.786793297
112,Moluskia,Moluskia,,1.55524745
113,Arome,Arome,,2.175889792
114,Sepioca,Sepioca,,1.811303974
115,Annak,Annak,,2.176493517
116,Krakien,Krakien,,1.773204692
117,Tonken,Tonken,,1.903028306
118,Barazushi,Barazushi,,1.443133606
119,Ascuax,Ascuax,,1.897042562
120,Octocóptero,Octorrecluta,,1.07316447
121,Octorrecluta blindado,Octorrecluta,blindado,1.07316447
122,Bi-octorrecluta,Bi-octorrecluta,,0.8997665485
123,Octobrincos,Octobrincos,,1.15500102
124,Octópodo,Octocóptero,,1.116670314
125,Bombacóptero,Bombacóptero,,0.9720416096
126,Octodiscobola,Octodiscobola,,0.9936474479
127,Octópodo,Octópodo,,1.488513733
128,Octópodo,Octópodo,gigante,1.488513733
129,Octopatinador,Octopatinador,,0.9640780059
130,Octotirador,Octotirador,,1.192055978
131,Octocomandante,Octocomandante,,0.8201053259
132,Octomisil,Octomisil,,1.488055018
133,Octópodo,Octozepelín,,1.18216995
134,Raspatintas,Raspatintas,,1.154830982
135,Estampón,Estampón,,1.436424052
136,Estampón potenciado,Estampón,potenciado,1.24439543
137,Tintapisonadora,Tintapisonadora,,0.8495539975
138,Octocóptero,Octobolo,,1.57873583
139,DJ Octovius,Octoamazona,,1.039667482
140,DJ Octovius,DJ Octovius,,1.15824316
141,Salmoche,Salmoche,,1.464599898
142,Escamacarra,Escamacarra,,1.096369823
143,Rastrerón,Rastrerón,,1.389178578
144,Ferroz,Ferroz,,2.2344149
145,Raspoide,Raspoide,,1.561753587
146,Chatarrónido,Chatarrónido,,1.044706854
147,Pilónido,Pilónido,,1.737204364
148,Fáucex,Fáucex,,1.967995517
149,Barreno,Barreno,,1.773605807
150,Drónido,Drónido,,1.810049319
151,Viga,Viga,,3.058319929
152,Chapotero,Chapotero,,1.338198406
153,Tapaollas,Tapaollas,,1.458435806
154,Artilleroide,Artilleroide,,1.197221424
155,Salmóreo,Salmóreo,,1.51234637
156,Chaparrilla,Chaparrilla,,1.25082337
157,Aerocriadero,Aerocriadero,,1.06471154
158,Morrolodo,Morrolodo,,1.388686253
159,Siluro eléctrico,Siluro eléctrico,,0.8842774714
160,Torre,Torre,,2.532198572
161,Pez dorado,Pez dorado,,1.257166165
162,Superalmeja,Superalmeja,,1.124679966
163,Lanzatintas novato B,Lanzatintas,novato B,1.177022987
164,Aerógrafo plus,Aerógrafo plus,,0.9221633952
165,Lanzatintas B,Lanzatintas B,,1.004726051
166,Lanzatintas plus B,Lanzatintas,plus B,1.177022987
167,Lanzatintas espacial,Lanzatintas,espacial,1.177022987
168,Ultradevastador neo,Ultradevastador,neo,0.852510184
169,Rodillo de carbono DX,Rodillo de,carbono DX,1.193439456
170,Rodillo mágnum,Rodillo mágnum,,0.8704585336
171,Pincel maestro,Pincel,maestro,1.68733753
172,Cargaminas 5H,Cargaminas 5H,,0.9207149935
173,Derramatic DX,Derramatic DX,,0.9393585542
174,Tintralladora ligera B,Tintralladora,ligera B,1.05078036
175,Atomizador dual maestro,Atomizador,dual maestro,1.039995112
176,Marcador neo,Marcador,neo,1.467066299
177,Marcador fino neo,Marcador,fino neo,1.467066299
178,N-ZAP 89,N-ZAP 89,,1.471471979
179,Salpicadora 3000 DX,Salpicadora,3000 DX,1.19880019
180,Megabarredora SP,Megabarredora,SP,0.9104504477
181,Turbodevastador neo,Turbodevastador,neo,0.8167200203
182,Devastador exprés DX,Devastador,exprés DX,1.232850235
183,Tintambor ligero D,Tintambor,ligero D,1.326649738
184,Rodillo básico B,Rodillo,básico B,1.654358013
185,Cargatintas Ezkkor,Cargatintas,Ezkkor,1.153302
186,Cargatintas con mira Ezkkor,Cargatintas,con mira Ezkkor,0.8631155808
187,Derramatic triple maestro,Derramatic,triple maestro,0.9468889441
188,Calamar imperial,Calamar imperial,,0.8078314976
189,Multiseñuelos,Multiseñuelos,,0.9812115119
190,Jairito y Jairín,Jairito y Jairín,,0.8815926765
191,Némona,Némona,,1.734609536
192,M. Duso,M. Duso,,1.772002245
193,Friderico,Friderico,,1.557835802
194,Eri,Eri,,5.333790859
195,Morenas sin piedad: Angie,Morenas sin,piedad: Angie,1.009123084
196,Depredación pura: Megan,Depredación,pura: Megan,1.108774089
197,Criatura sin par: Rayan,Criatura sin,par: Rayan,1.137964096
198,Ezkkor,Ezkkor,,2.14632866
