No.,Name,Title Line 1,Title Line 2,Title Scale
1,Rociador de élite,Rociador,de élite,1.596091612
2,Marcador grueso,Marcador,grueso,1.467066299
3,Rociador básico,Rociador,básico,1.596091612
4,Plumón,Plumón,,1.893834821
5,Aerógrafo GP,Aerógrafo GP,,1.020634376
6,Rociador,Rociador,,1.596091612
7,Salpicadora 2000,Salpicadora,2000,1.19880019
8,N-ZAP 85,N-ZAP 85,,1.484848962
9,Rociador Pro,Rociador Pro,,1.083996198
10,Salpicadora 3000,Salpicadora,3000,1.19880019
11,Megasoplador,Megasoplador,,1.000830086
12,Lanzamotas Nova,Lanzamotas,Nova,1.184603626
13,Lanzamotas,Lanzamotas,,1.184603626
14,Telelanzamotas,Telelanzamotas,,0.8821133372
15,Hiperlanzamotas,Hiperlanzamotas,,0.8338322808
16,Turbolanzamotas,Turbolanzamotas,,0.8048974144
17,Turbolanzamotas Pro,Turbolanzamotas,Pro,0.8048974144
18,Manguera ligera,Manguera,ligera,1.385648991
19,Manguera pesada,Manguera,pesada,1.385648991
20,Tintopresor,Tintopresor,,1.174202486
21,Rodillo de carbono,Rodillo de,carbono,1.402191416
22,Rodillo básico,Rodillo básico,,1.002205462
23,Rodillo Pro,Rodillo Pro,,1.286960578
24,Rodillo versátil,Rodillo,versátil,1.785471333
25,Pincel,Pincel,,2.266060821
26,Pincel caligrafía,Pincel,caligrafía,1.426427812
27,Delineador X,Delineador X,,1.066304399
28,Cargatintas,Cargatintas,,1.153302
29,Telecargatintas,Telecargatintas,,0.8569831963
30,Entintador 4K,Entintador 4K,,0.9748670948
31,Telentintador 4K,Telentintador,4K,0.9863964727
32,Bamzuka 14-I,Bamzuka 14-I,,1.069504595
33,Entintubo,Entintubo,,1.401846505
34,Derramatic,Derramatic,,1.23908547
35,Derramatic triple,Derramatic,triple,1.23908547
36,Derramatic centrífugo,Derramatic,centrífugo,1.23908547
37,Derramatic baño,Derramatic,baño,1.23908547
38,Derramatic XP,Derramatic XP,,0.9415017878
39,Garabateador,Garabateador,,1.010504968
40,Garabateador Pro,Garabateador,Pro,1.010504968
41,Garabateador HD,Garabateador,HD,1.010504968
42,Garabateador PLM,Garabateador,PLM,1.010504968
43,Nautilo 47,Nautilo 47,,1.307920545
44,Atomizador dual,Atomizador,dual,1.211325722
45,Difusor dual,Difusor dual,,1.123290047
46,Fundidora 525 dual,Fundidora 525,dual,0.966216631
47,Soplador dual,Soplador,dual,1.617829709
48,Tetra dual negro,Tetra dual,negro,1.291971073
49,Paratintas,Paratintas,,1.306830554
50,Paratintas forestal,Paratintas,forestal,1.306830554
51,Paratintas discreto,Paratintas,discreto,1.306830554
52,Arcromatizador triple,Arcromatizador,triple,0.8935749407
53,AR-CR0 450,AR-CR0 450,,1.164890214
54,Azotintador Pro,Azotintador,Pro,1.157388125
55,Azotintador brisa,Azotintador,brisa,1.157388125
56,Plasbomba,Plasbomba,,1.310900165
57,Bomba pegajosa,Bomba pegajosa,,0.8557319928
58,Globo entintado,Globo entintado,,0.8489099885
59,Aspersor,Aspersor,,1.562376152
60,Barricada,Barricada,,1.450073522
61,Bomba carbónica,Bomba,carbónica,1.40209743
62,Bomba deslizante,Bomba,deslizante,1.332823903
63,Robobomba,Robobomba,,1.234135609
64,Baliza,Baliza,,2.376659254
65,Rastreador,Rastreador,,1.2485572
66,Mina de tinta,Mina de tinta,,0.9876391079
67,Nebulizador,Nebulizador,,1.171745509
68,Dardo resaltador,Dardo resaltador,,0.8166669587
69,Torpedo,Torpedo,,1.708666421
70,Aspersor,Cañón triple,,1.096580636
71,Megaburbuja,Megaburbuja,,1.055341764
72,Aspersor,Gancho,tentacular,1.277653683
73,Garabateador Pro,Lanzamisiles,,1.106798097
74,Atormentador,Atormentador,,0.9740947752
75,Garabateador Pro,Bola,genializante,1.103837128
76,Emiteondas,Emiteondas,,1.210577522
77,Aspiratinta,Aspiratinta,,1.207292013
78,Garabateador Pro,Berreón 5.1,,1.222159973
79,Propulsor,Propulsor,,1.455457369
80,Aspersor,Ultraselladora,,0.9755191934
81,Cangrejobot,Cangrejobot,,1.11619325
82,Flotiburón,Flotiburón,,1.343328814
83,Tornado triple,Tornado triple,,0.9487222564
84,Dispensabebidas,Dispensabebidas,,0.8382005033
85,Jairo,Jairo,,2.706132186
86,Espiraldo,Espiraldo,,1.54677131
87,M. Arqués,M. Arqués,,1.362146233
88,Sr. Pinzón,Sr. Pinzón,,1.38485384
89,Armonia,Armonia,,1.66511869
90,Megaburbuja,Enrizo,,2.308089604
91,Don Oso,Don Oso,,1.7320708
92,Maridori,Maridori,,1.641198077
93,Escamita,Escamita,,1.5384622
94,Jibión,Jibión,,2.249158078
95,Capitana,Capitana,,1.537255362
96,Mar,Mar,,3.583386824
97,Tina,Tina,,3.145437729
98,Megan,Megan,,2.084483181
99,Angie,Angie,,2.386515826
100,Rayan,Rayan,,2.311917974
101,Justino,Justino,,1.815498082
102,Escamita,Justito,,1.870954762
103,Kalamas,Kalamas,,1.652483954
104,Tintaz,Tintaz,,2.16231206
105,Meddux,Meddux,,1.75794638
106,Rockenberg,Rockenberg,,1.184782375
107,Zekko,Zekko,,2.329779932
108,Forima,Forima,,2.074760989
109,Shachi,Shachi,,2.086355907
110,Skalop,Skalop,,2.141638531
111,Tinta comunal,Tinta comunal,,0.9499435107
112,Moluskia,Moluskia,,1.55524745
113,Tentáctica,Tentáctica,,1.243408708
114,Pulpioka,Pulpioka,,1.642229337
115,Annak,Annak,,2.176493517
116,Emperi,Emperi,,2.062751928
117,Tonken,Tonken,,1.903028306
118,Barazushi,Barazushi,,1.443133606
119,Ascuax,Ascuax,,1.897042562
120,Octocóptero,Octorrecluta,,1.07316447
121,Octorrecluta blindado,Octorrecluta,blindado,1.07316447
122,Octorrecluta ambidiestro,Octorrecluta,ambidiestro,1.07316447
123,Octosaltador,Octosaltador,,1.064277831
124,Tintápsula,Octocóptero,,1.116670314
125,Plastocóptero,Plastocóptero,,0.9840441659
126,Octoboladisco,Octoboladisco,,0.9902587884
127,Tintápsula,Tintápsula,,1.291332613
128,Tintápsula,Tintápsula,gigante,1.291332613
129,Octopatinador,Octopatinador,,0.9640780059
130,Octotirador,Octotirador,,1.192055978
131,Octocomandante,Octocomandante,,0.8201053259
132,Octomisil,Octomisil,,1.488055018
133,Tintápsula,Octozepelín,,1.18216995
134,Raspatintas,Raspatintas,,1.154830982
135,Estampulpo,Estampulpo,,1.210577522
136,Estampulpo potenciado,Estampulpo,potenciado,1.210577522
137,Entintador,Entintador,,1.290907189
138,Octocóptero,Octobolo,,1.57873583
139,DJ Octovius,Octoling,,1.637427516
140,DJ Octovius,DJ Octovius,,1.15824316
141,Salmoide,Salmoide,,1.552168584
142,Agallón,Agallón,,1.827772997
143,Hurtón,Hurtón,,2.003706441
144,Ferroz,Ferroz,,2.2344149
145,Anguiladera,Anguiladera,,1.140550723
146,Parrillero,Parrillero,,1.475557301
147,Fregatorre,Fregatorre,,1.283510578
148,Mandíburo,Mandíburo,,1.316181882
149,Paragüista,Paragüista,,1.27723752
150,Drónido,Drónido,,1.810049319
151,Viga,Viga,,3.058319929
152,Chapotero,Chapotero,,1.338198406
153,Tapaollas,Tapaollas,,1.458435806
154,Artilleroide,Artilleroide,,1.197221424
155,Orónido,Orónido,,1.80921398
156,Brasaleta,Brasaleta,,1.446328264
157,Salmonodriza,Salmonodriza,,1.048338987
158,Bocalodo,Bocalodo,,1.57177258
159,Volbagre,Volbagre,,1.568314238
160,Torreón,Torreón,,1.752592345
161,Pez dorado,Pez dorado,,1.257166165
162,Almejón,Almejón,,1.718403936
