No.,Name,Title Line 1,Title Line 2,Title Scale
1,Каплестрел героя,Каплестрел героя,,0.7868329938
2,Плюхотрон,Плюхотрон,,1.337285327
3,Каплестрел-У,Каплестрел-У,,1.01233181
4,Плюхомет,Плюхомет,,1.47257757
5,Аэроспрей,Аэроспрей,,1.32530437
6,Каплестрел,Каплестрел,,1.197267019
7,Струевик .52,Струевик .52,,1.074930232
8,N-ZAP 85,N-ZAP 85,,1.484848962
9,Каплестрел ПРО,Каплестрел ПРО,,0.8519196856
10,Струевик .96,Струевик .96,,1.060965342
11,Плескарь,Плескарь,,1.514391258
12,Лунобластер,Лунобластер,,1.072522178
13,Бластер,Бластер,,1.742077867
14,Дальнобластер,Дальнобластер,,0.9201746632
15,Контрабластер,Контрабластер,,0.9483348311
16,Бластермат,Бластермат,,1.228215064
17,Бластермат ПРО,Бластермат ПРО,,0.8674728884
18,Каплетрон-компакт,Каплетрон-,компакт,1.254551133
19,Тяжелый каплетрон,Тяжелый,каплетрон,1.380130532
20,Бутылятор,Бутылятор,,1.337057496
21,Валик ЛАЙТ,Валик ЛАЙТ,,1.116928915
22,Сплат-валик,Сплат-валик,,1.128890512
23,Мотовалик,Мотовалик,,1.274874916
24,Омнивалик,Омнивалик,,1.361673104
25,Кисть,Кисть,,2.466088607
26,Арт-кисть,Арт-кисть,,1.427889215
27,Стиратель,Стиратель,,1.373842384
28,Сплатган,Сплатган,,1.564246528
29,Снайпокрас,Снайпокрас,,1.21753355
30,Э-литр 95,Э-литр 95,,1.395608226
31,Снайп-э-литр 95,Снайп-э-литр 95,,0.8482672179
32,Бамбух 14-I,Бамбух 14-I,,1.222922564
33,Трубастер,Трубастер,,1.329800152
34,Ведроган,Ведроган,,1.545741898
35,Ведроган 3 в 1,Ведроган 3 в 1,,0.9605786629
36,Центрифугер,Центрифугер,,1.095144652
37,Ваннаган,Ваннаган,,1.624534346
38,Шпарган,Шпарган,,1.740917252
39,Брызгомет-М,Брызгомет-М,,1.117466225
40,Брызгомет XL,Брызгомет XL,,1.06921297
41,Брызгомет «Горыныч»,Брызгомет,«Горыныч»,1.314857651
42,Кугельшрайбер,Кугельшрайбер,,0.917053252
43,Наутилус-47,Наутилус-47,,1.085140387
44,Импрессиометы,Импрессиометы,,0.9143793942
45,Спуртометы,Спуртометы,,1.18909546
46,Термоплюхи 525,Термоплюхи 525,,0.8397828473
47,Спурт-плескари,Спурт-плескари,,0.8821134319
48,Черные спуртокроссы,Черные,спуртокроссы,1.012593291
49,Сплат-зонт,Сплат-зонт,,1.278070416
50,Зонтент,Зонтент,,1.810885629
51,Шпионский зонт,Шпионский,зонт,1.31090027
52,Тритиватор,Тритиватор,,1.217155535
53,КО-РАЛЛ 450,КО-РАЛЛ 450,,1.018992718
54,Сплат-печатель,Сплат-печатель,,0.8882095408
55,Cплат-дворник,Cплат-дворник,,0.9467315906
56,Брызгающая бомба,Брызгающая,бомба,1.217722646
57,Бомба на присоске,Бомба на,присоске,1.532447886
58,Разрывная бомба,Разрывная,бомба,1.393375704
59,Распылятор,Распылятор,,1.19928156
60,Чернильный занавес,Чернильный,занавес,1.224569979
61,Содовая бомба,Содовая бомба,,0.9412756217
62,Керлинг-бомба,Керлинг-бомба,,0.968125739
63,Робобомба,Робобомба,,1.333418949
64,Прыжковый маячок,Прыжковый,маячок,1.288493891
65,Маркер движения,Маркер движения,,0.7799154286
66,Мина,Мина,,2.66078457
67,Едкий туман,Едкий туман,,1.129215683
68,Углострел,Углострел,,1.384517638
69,Торпедная бомба,Торпедная,бомба,1.300031531
70,Распылятор,Гранатомет,«Трезубец»,1.157836969
71,Шарощит,Шарощит,,1.581801785
72,Распылятор,Краскотрос,,1.227830205
73,Брызгомет XL,Каракатница,,1.131170802
74,Туча краски,Туча краски,,1.099753242
75,Брызгомет XL,Йо-хо-плюхер,,1.029885483
76,Волноплюхер,Волноплюхер,,1.075169649
77,Краскосос,Краскосос,,1.351812003
78,Брызгомет XL,Мегалофон 5.1,,0.956783486
79,Красколет,Красколет,,1.335690621
80,Распылятор,Припечать,,1.360255689
81,Кработанк,Кработанк,,1.359076537
82,Мотокула,Мотокула,,1.401251647
83,Тройной торнадо,Тройной,торнадо,1.694631952
84,Тоникулер,Тоникулер,,1.308493662
85,Пушкин,Пушкин,,1.858371001
86,Тилли Скрут,Тилли Скрут,,1.085140315
87,Желье ле Щуп,Желье ле Щуп,,0.9767649626
88,Боря Крабко,Боря Крабко,,1.140218914
89,Актавия,Актавия,,1.76482262
90,Шарощит,Иглюха,,2.013484034
91,Потапыч,Потапыч,,1.692802571
92,Тетя Крася,Тетя Крася,,1.224378751
93,Малетчик,Малетчик,,1.406530951
94,Кальмостар,Кальмостар,,1.236155037
95,Капитан,Капитан,,1.767607888
96,Кэлли,Кэлли,,2.291644513
97,Мари,Мари,,2.619008481
98,Кулла,Кулла,,2.260588513
99,Мурия,Мурия,,2.151999157
100,Биг Ман,Биг Ман,,1.751809186
101,Судокот,Судокот,,1.653529285
102,Малетчик,Судокотик,,1.303056544
103,Кальмари,Кальмари,,1.525589362
104,Шпротус,Шпротус,,1.637299352
105,Кра-Кен,Кра-Кен,,1.738600653
106,Угрок,Угрок,,2.530564024
107,Йожко,Йожко,,2.275680279
108,Блиц,Блиц,,2.98723698
109,Фритюр,Фритюр,,1.971955702
110,Гребершко,Гребершко,,1.334553764
111,Морлюкс,Морлюкс,,1.579570779
112,Волногор,Волногор,,1.564246379
