No.,Name,Title Line 1,Title Line 2,Title Scale
1,英雄射击枪,英雄射击枪,,1.543876923
2,广域标记枪,广域标记枪,,1.543876923
3,新叶射击枪,新叶射击枪,,1.543876923
4,窄域标记枪,窄域标记枪,,1.543876923
5,专业模型枪MG,专业模型枪MG,,1.145131629
6,斯普拉射击枪,斯普拉射击枪,,1.286564103
7,.52加仑,.52加仑,,2.097869932
8,N-ZAP85,N-ZAP85,,1.624744646
9,顶尖射击枪,顶尖射击枪,,1.543876923
10,.96加仑,.96加仑,,2.045328998
11,喷射清洁枪,喷射清洁枪,,1.543876923
12,新星爆破枪,新星爆破枪,,1.543876923
13,火热爆破枪,火热爆破枪,,1.543876923
14,远距爆破枪,远距爆破枪,,1.543876923
15,冲涂爆破枪,冲涂爆破枪,,1.543876923
16,快速爆破枪,快速爆破枪,,1.543876923
17,快速爆破枪 精英,快速爆破枪 精英,,1.036488678
18,L3卷管枪,L3卷管枪,,1.846389673
19,H3卷管枪,H3卷管枪,,1.765318695
20,开瓶喷泉枪,开瓶喷泉枪,,1.543876923
21,碳纤维滚筒,碳纤维滚筒,,1.543876923
22,斯普拉滚筒,斯普拉滚筒,,1.543876923
23,电动马达滚筒,电动马达滚筒,,1.286564103
24,可变式滚筒,可变式滚筒,,1.543876923
25,巴勃罗,巴勃罗,,2.573128205
26,北斋,北斋,,3.859692308
27,鱿快洁α,鱿快洁α,,2.035570791
28,斯普拉蓄力狙击枪,斯普拉蓄力狙击枪,,0.9649230769
29,斯普拉准星枪,斯普拉准星枪,,1.286564103
30,公升4K,公升4K,,2.211254123
31,4K准星枪,4K准星枪,,1.718874436
32,14式竹筒枪·甲,14式竹筒枪·甲,,1.148045263
33,高压油管枪,高压油管枪,,1.543876923
34,飞溅泼桶,飞溅泼桶,,1.929846154
35,洗笔桶,洗笔桶,,2.573128205
36,回旋泼桶,回旋泼桶,,1.929846154
37,满溢泡澡泼桶,满溢泡澡泼桶,,1.286564103
38,爆炸泼桶,爆炸泼桶,,1.929846154
39,斯普拉旋转枪,斯普拉旋转枪,,1.286564103
40,桶装旋转枪,桶装旋转枪,,1.543876923
41,消防栓旋转枪,消防栓旋转枪,,1.286564103
42,圆珠笔,圆珠笔,,2.573128205
43,鹦鹉螺号47,鹦鹉螺号47,,1.4409779
44,溅镀枪,溅镀枪,,2.573128205
45,斯普拉机动枪,斯普拉机动枪,,1.286564103
46,开尔文525,开尔文525,,1.522108665
47,双重清洁枪,双重清洁枪,,1.543876923
48,四重弹跳手枪 黑,四重弹跳手枪 黑,,1.036488678
49,遮阳防空伞,遮阳防空伞,,1.543876923
50,露营防空伞,露营防空伞,,1.543876923
51,特工配件,特工配件,,1.929846154
52,三发猎鱼弓,三发猎鱼弓,,1.543876923
53,LACT-450,LACT-450,,1.478130405
54,工作刮水刀,工作刮水刀,,1.543876923
55,雨刷刮水刀,雨刷刮水刀,,1.543876923
56,斯普拉炸弹,斯普拉炸弹,,1.543876923
57,吸盘炸弹,吸盘炸弹,,1.929846154
58,快速炸弹,快速炸弹,,1.929846154
59,洒墨器,洒墨器,,2.573128205
60,斯普拉防护墙,斯普拉防护墙,,1.286564103
61,碳酸炸弹,碳酸炸弹,,1.929846154
62,冰壶炸弹,冰壶炸弹,,1.929846154
63,机器人炸弹,机器人炸弹,,1.543876923
64,跳跃信标,跳跃信标,,1.929846154
